Title,Author,Fandoms,Relationships,Summary,Characters,Additional Tags,Rating,WarningsWork Url
one hundred scabs (singing in unison),snowtagonist,['逆転裁判 | Gyakuten Saiban | Ace Attorney'],"['Ayasato Mayoi | Maya Fey & Naruhodou Ryuuichi | Phoenix Wright', 'Naruhodou Minuki | Trucy Wright & Naruhodou Ryuuichi | Phoenix Wright', 'Mitsurugi Reiji | Miles Edgeworth/Naruhodou Ryuuichi | Phoenix Wright']","<p>Phoenix Wright, three bad pain days, and his family. </p><p>(or: phoenix dealing with chronic pain over the years. coming to terms with being ill takes a while.)</p>","['Naruhodou Ryuuichi | Phoenix Wright', 'Ayasato Mayoi | Maya Fey', 'Naruhodou Minuki | Trucy Wright', 'Mitsurugi Reiji | Miles Edgeworth']","['Chronic Pain', 'Phoenix Wright Has Chronic Pain', 'literally thats the whole fic', 'Im Projecting', 'Hurt/Comfort', 'basically just phoenix figuring out how to cope', 'phoenix has fibromyalgia if anyone wants specifics']",['Teen And Up Audiences'],[],https://archiveofourown.org/works/31628549
Title,Author,Fandoms,Relationships,Summary,Characters,Additional Tags,Rating,WarningsWork Url
"maybe a family is you, your boyfriend and the partners you found out about along the way",Sarcastic Sunshine (sarcastic_sunshine5),['High School Musical: The Musical: The Series (TV)'],"['Ricky Bowen/E.J. Caswell', 'Ricky Bowen (HSMTMTS) & Everyone', 'Ricky Bowen & Gina Porter', 'Ricky Bowen & Seb Matthew-Smith', 'Big Red & Ricky Bowen (HSMTMTS)', 'Ricky Bowen & Carlos Rodriguez', 'Ricky Bowen & Nini Salazar-Roberts']","<p>
<em>Or, five times someone in the drama club fake dated Ricky, and one time Ricky noticed.</em>
</p><p> </p><p>""We probably have to save him.""</p><p>Now it was Gina's turn to sigh, ""Yeah, probably.""</p><p>After a few more seconds of watching the train wreck; she turned back to him, a smirk now present on her face. ""Rock, paper, scissors you for it? Loser has to help Ricky.""</p>","['Ricky Bowen (HSMTMTS)', 'Gina Porter', 'Seb Matthew-Smith', 'Big Red (HSMTMTS)', 'Carlos Rodriguez', 'Nini Salazar-Roberts', 'E.J. Caswell', 'Original Characters', 'Original Female Character(s)', 'Original Male Character(s)']","['Fake/Pretend Relationship', 'Crack', 'Crack Treated Seriously', 'a part of me wants to tag the ships just to confuse people fjdks', 'touch-starved ricky bowen', 'Oblivious Ricky Bowen (HSMTMTS)', 'Confused Ricky Bowen (HSMTMTS)', 'Protective E.J. Caswell', 'Confused E.J. Caswell', 'Ricky Bowen Being an Idiot (HSMTMTS)', 'Nonbinary Seb Matthew-Smith', 'Good Friend Big Red (HSMTMTS)', '5+1 Things']",['General Audiences'],[],https://archiveofourown.org/works/37971826
